ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
0XCDCD,DEHRES17DEL01,36.0,4.2,30.327968,78.046106,30.397968,78.116106,2022-12-02,2026-09-07 21:55:00,2026-09-07 22:10:00,Fog,Jam,2,Snack,motorcycle,2.5,False,Metropolitian,46.0
0XD987,KOCRES16DEL01,21.0,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,2026-09-07 14:55:00,2026-09-07 15:05:00,Stormy,High,1,Meal,motorcycle,1.0,False,Metropolitian,23.0
0X2784,PUNERES13DEL03,23.0,4.7,18.56245,73.916619,18.65245,74.006619,2022-04-03,2026-09-07 17:30:00,2026-09-07 17:40:00,Sandstorms,Medium,1,Drinks,scooter,1.0,False,Metropolitian,21.0
0XC8B6,LUDHRES15DEL02,34.0,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,2026-09-07 09:20:00,2026-09-07 09:30:00,Sandstorms,Low,0,Buffet,motorcycle,0.0,False,Metropolitian,20.0
0XDB64,KNPRES14DEL02,24.0,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,2026-09-07 19:50:00,2026-09-07 20:05:00,Fog,Jam,1,Snack,scooter,1.0,False,Metropolitian,41.0
0X3AF3,MUMRES15DEL03,29.0,4.5,19.176269,72.836721,19.266269,72.926721,2022-02-04,2026-09-07 20:25:00,2026-09-07 20:35:00,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,False,Metropolitian,20.0
0X3AAB,MYSRES01DEL01,35.0,4.050000000000001,12.311072,76.654878,12.351072,76.694878,2022-01-03,2026-09-07 14:55:00,2026-09-07 15:10:00,Windy,High,1,Meal,scooter,1.0,False,Metropolitian,33.0
0X689B,PUNERES20DEL01,33.0,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,2026-09-07 20:30:00,2026-09-07 20:40:00,Sandstorms,Jam,2,Snack,motorcycle,1.0,False,Metropolitian,40.0
0XC9CF,KOLRES15DEL03,21.0,4.7,22.552672,85.40041775,22.582672,85.51629875000003,2022-02-15,2026-09-07 21:15:00,2026-09-07 21:30:00,Windy,Jam,0,Meal,motorcycle,1.0,False,Urban,15.0
0X36B8,PUNERES19DEL02,25.0,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,2026-09-07 20:20:00,2026-09-07 20:25:00,Sandstorms,Jam,0,Snack,motorcycle,2.0,False,Metropolitian,36.0
0X5795,RANCHIRES06DEL02,31.0,4.7,23.357804,85.325146,23.487804,85.455146,2022-10-03,2026-09-07 22:30:00,2026-09-07 22:45:00,Sandstorms,Low,2,Meal,electric_scooter,0.0,False,Metropolitian,26.0
0X6C6B,COIMBRES13DEL01,37.0,5.0,11.003669,76.976494,11.013669,76.986494,2022-11-03,2026-09-07 08:15:00,2026-09-07 08:30:00,Sandstorms,Low,1,Snack,motorcycle,1.0,False,Metropolitian,20.0
0XB816,CHENRES19DEL02,33.0,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,2026-09-07 19:30:00,2026-09-07 19:45:00,Windy,Jam,2,Meal,scooter,1.0,False,Metropolitian,39.0
0X539B,MUMRES02DEL01,25.0,4.050000000000001,19.221315,72.862381,19.261315,72.902381,2022-03-26,2026-09-07 12:25:00,2026-09-07 12:30:00,Cloudy,High,1,Buffet,motorcycle,1.0,False,Metropolitian,34.0
0XA1B2,CHENRES01DEL01,29.0,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,2026-09-07 18:35:00,2026-09-07 18:50:00,Sunny,Medium,2,Meal,electric_scooter,1.0,False,Metropolitian,15.0
0X3231,JAPRES16DEL03,27.0,5.0,26.849596,75.800512,26.879596,75.830512,2022-05-04,2026-09-07 20:35:00,2026-09-07 20:40:00,Stormy,Jam,0,Snack,motorcycle,0.0,False,Urban,18.0
0X8BC0,SURRES15DEL03,35.0,4.3,21.160522,72.771477,21.250522,72.861477,2022-12-03,2026-09-07 23:20:00,2026-09-07 23:30:00,Cloudy,Low,1,Drinks,scooter,0.0,False,Metropolitian,38.0
0X2288,BANGRES09DEL03,32.0,4.050000000000001,12.934179,77.615797,13.024179,77.705797,2022-03-16,2026-09-07 21:20:00,2026-09-07 21:35:00,Windy,Jam,0,Buffet,motorcycle,1.0,False,Metropolitian,47.0
0X3E60,COIMBRES02DEL03,31.0,4.8,11.022477,76.995667,11.052477,77.025667,2022-01-04,2026-09-07 22:35:00,2026-09-07 22:50:00,Sandstorms,Low,2,Drinks,motorcycle,1.0,False,Metropolitian,26.0
0XBFF,SURRES16DEL02,36.0,4.1,21.160437,72.774209,21.210437,72.824209,2022-05-03,2026-09-07 22:35:00,2026-09-07 22:40:00,Stormy,Low,0,Drinks,motorcycle,1.0,False,Urban,22.0
0XD936,GOARES15DEL02,26.0,4.3,15.51315,73.78346,15.56315,73.83346,2022-11-02,2026-09-07 23:25:00,2026-09-07 23:35:00,Sandstorms,Low,0,Buffet,motorcycle,0.0,False,Urban,21.0
0XD681,GOARES07DEL01,38.0,4.9,15.561295,73.749478,15.601295,73.789478,2022-11-02,2026-09-07 13:35:00,2026-09-07 13:40:00,Cloudy,High,1,Drinks,scooter,1.0,False,Urban,25.0
0X2876,RANCHIRES02DEL01,32.0,4.050000000000001,0.0,65.81808774999999,0.11,65.85268874999997,2022-08-03,2026-09-07 21:35:00,2026-09-07 21:45:00,Stormy,Jam,1,Snack,scooter,0.0,False,Urban,35.0
0XB3A0,PUNERES18DEL01,20.0,4.7,18.593481,73.785901,18.633481,73.825901,2022-03-04,2026-09-07 14:15:00,2026-09-07 14:25:00,Windy,High,1,Snack,scooter,0.0,False,Urban,10.0
0X4BDA,HYDRES17DEL02,35.0,5.0,17.451976,78.385883,17.471976,78.405883,2022-01-04,2026-09-07 09:45:00,2026-09-07 09:55:00,Sunny,Low,2,Snack,scooter,1.0,False,Urban,11.0
0X9D26,BANGRES17DEL02,26.0,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,2026-09-07 08:40:00,2026-09-07 08:55:00,Stormy,Low,2,Buffet,scooter,0.0,False,Metropolitian,11.0
0X3556,SURRES09DEL01,33.0,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,2026-09-07 11:30:00,2026-09-07 11:40:00,Sunny,High,2,Snack,scooter,1.0,False,Metropolitian,18.0
0X5554,RANCHIRES15DEL01,31.0,4.9,23.369746,85.33982,23.409746,85.37982,2022-03-04,2026-09-07 15:10:00,2026-09-07 15:15:00,Fog,Medium,1,Snack,motorcycle,1.0,False,Metropolitian,16.0
0X25FD,BANGRES19DEL01,31.0,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,2026-09-07 22:45:00,2026-09-07 22:55:00,Stormy,Low,2,Drinks,scooter,1.0,False,Metropolitian,23.0
0XC1FF,AURGRES20DEL03,25.0,5.0,0.0,65.81808774999999,0.03,65.85268874999997,2022-02-13,2026-09-07 22:10:00,2026-09-07 22:25:00,Cloudy,Low,0,Snack,motorcycle,0.0,False,Metropolitian,15.0
0X7AC8,COIMBRES14DEL02,28.0,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,2026-09-07 20:45:00,2026-09-07 20:55:00,Sandstorms,Jam,0,Drinks,motorcycle,1.0,False,Metropolitian,36.0
0X8E6C,VADRES02DEL02,39.0,4.2,0.0,65.81808774999999,0.08,65.85268874999997,2022-02-03,2026-09-07 20:35:00,2026-09-07 20:50:00,Fog,Jam,2,Snack,scooter,1.0,False,Semiurban,49.0
0X395B,VADRES04DEL03,36.0,4.7,0.0,65.81808774999999,0.06,65.85268874999997,2022-03-13,2026-09-07 20:15:00,2026-09-07 20:20:00,Cloudy,Jam,1,Snack,motorcycle,1.0,False,Metropolitian,30.0
0X8AA2,JAPRES18DEL02,25.0,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,2026-09-07 22:25:00,2026-09-07 22:35:00,Sandstorms,Low,1,Drinks,scooter,0.0,False,Urban,18.0
0X73CC,SURRES12DEL01,30.0,4.4,21.183434,72.814492,21.253434,72.884492,2022-12-03,2026-09-07 22:40:00,2026-09-07 22:55:00,Cloudy,Low,2,Drinks,scooter,1.0,False,Metropolitian,34.0
0XD255,ALHRES07DEL02,21.0,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,2026-09-07 10:20:00,2026-09-07 10:30:00,Sandstorms,Low,2,Meal,electric_scooter,0.0,False,Metropolitian,14.0
0X98AA,VADRES16DEL02,23.0,4.8,0.0,65.81808774999999,0.02,65.85268874999997,2022-07-03,2026-09-07 10:40:00,2026-09-07 10:50:00,Stormy,Low,1,Meal,scooter,1.0,False,Metropolitian,15.0
0X273A,VADRES09DEL01,35.0,4.8,0.0,65.81808774999999,0.04,65.85268874999997,2022-03-28,2026-09-07 15:55:00,2026-09-07 16:05:00,Fog,Medium,2,Buffet,scooter,1.0,False,Urban,16.0
0XA258,CHENRES12DEL03,39.0,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,2026-09-07 20:10:00,2026-09-07 20:15:00,Cloudy,Jam,1,Snack,scooter,1.0,False,Metropolitian,36.0
0X1A70,MYSRES14DEL02,29.0,4.7,0.0,65.81808774999999,0.02,65.85268874999997,2022-09-03,2026-09-07 10:35:00,2026-09-07 10:45:00,Fog,Low,0,Buffet,motorcycle,1.0,False,Metropolitian,17.0
0XC606,BHPRES12DEL02,20.0,4.5,0.0,65.81808774999999,0.05,65.85268874999997,2022-11-02,2026-09-07 21:10:00,2026-09-07 21:25:00,Fog,Jam,1,Drinks,motorcycle,1.0,False,Metropolitian,27.0
0X156B,JAPRES03DEL02,30.0,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,2026-09-07 11:45:00,2026-09-07 11:50:00,Stormy,High,1,Buffet,motorcycle,1.0,False,Metropolitian,31.0
0X56AD,HYDRES04DEL03,24.0,4.6,17.411028,78.329645,17.471028,78.389645,2022-09-03,2026-09-07 20:45:00,2026-09-07 20:55:00,Stormy,Jam,1,Buffet,motorcycle,0.0,False,Metropolitian,13.0
0XC19E,AURGRES08DEL02,37.0,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,2026-09-07 23:30:00,2026-09-07 23:45:00,Fog,Low,0,Buffet,motorcycle,2.0,True,Urban,42.0
0X95FB,HYDRES05DEL01,25.0,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,2026-09-07 21:25:00,2026-09-07 21:40:00,Stormy,Jam,0,Meal,motorcycle,1.0,False,Metropolitian,39.0
0X6D19,INDORES12DEL02,38.0,4.9,22.74806,75.8934,22.76806,75.9134,2022-11-03,2026-09-07 08:40:00,2026-09-07 08:55:00,Cloudy,Low,2,Drinks,scooter,1.0,False,Urban,15.0
0X9F99,MUMRES11DEL01,23.0,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,2026-09-07 22:35:00,2026-09-07 22:40:00,Cloudy,Low,2,Snack,scooter,1.0,False,Urban,22.0
0X1B8D,SURRES09DEL02,27.0,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,2026-09-07 10:55:00,2026-09-07 11:10:00,Sandstorms,Low,2,Snack,scooter,0.0,False,Urban,12.0
