customer_id,age,country,gender,plan,monthly_spend,signup_date
CUST00001,58,Canada,Female,Free,122.45,2024-05-22
CUST00002,65,Canada,Female,Free,15.89,2024-04-05
CUST00003,31,UK,Male,Free,358.01,2025-12-19
CUST00004,52,Germany,Female,Basic,294.63,2024-01-07
CUST00005,66,UK,Female,Enterprise,138.94,2024-08-08
CUST00006,66,UAE,Male,Free,189.96,2025-01-02
CUST00007,40,USA,Male,Pro,364.87,2025-07-03
CUST00008,25,Germany,Female,Free,414.7,2025-09-25
CUST00009,41,USA,Male,Basic,22.91,2024-08-21
CUST00010,67,UAE,Male,Free,433.24,2025-01-24
CUST00011,35,Germany,Male,Pro,185.09,2024-08-02
CUST00012,60,UAE,Male,Free,267.07,2024-09-07
CUST00013,28,Germany,Female,Enterprise,494.76,2025-10-17
CUST00014,62,USA,Female,Basic,421.43,2024-02-27
CUST00015,32,Canada,Female,Pro,133.87,2024-08-04
CUST00016,54,UAE,Female,Basic,197.82,2025-10-20
CUST00017,47,UK,Male,Pro,123.31,2025-07-28
CUST00018,52,UAE,Female,Enterprise,181.0,2024-05-21
CUST00019,50,Germany,Male,Free,430.55,2024-06-05
CUST00020,58,UK,Male,Enterprise,192.38,2025-09-02
CUST00021,47,USA,Male,Pro,340.14,2024-04-27
CUST00022,61,USA,Female,Pro,55.78,2025-03-21
CUST00023,28,Germany,Female,Free,485.94,2024-07-01
CUST00024,50,Canada,Male,Pro,76.42,2024-06-14
CUST00025,52,USA,Female,Free,244.3,2024-04-24
CUST00026,41,UAE,Male,Basic,120.44,2025-08-03
CUST00027,23,Canada,Male,Enterprise,488.99,2025-06-29
CUST00028,67,UK,Female,Basic,473.42,2024-06-18
CUST00029,34,USA,Male,Enterprise,464.46,2025-12-07
CUST00030,30,UAE,Female,Enterprise,219.05,2025-06-13
CUST00031,46,Canada,Male,Basic,32.01,2024-01-22
CUST00032,55,USA,Male,Basic,3.6,2025-12-25
CUST00033,58,Canada,Male,Basic,452.71,2024-12-04
CUST00034,22,USA,Female,Basic,334.49,2024-08-07
CUST00035,52,UK,Male,Enterprise,392.31,2025-02-20
CUST00036,30,Canada,Female,Free,177.15,2025-02-24
CUST00037,47,Canada,Male,Free,201.31,2024-12-13
CUST00038,69,Canada,Male,Basic,95.1,2025-04-04
CUST00039,26,Germany,Female,Basic,231.31,2024-03-18
CUST00040,46,USA,Male,Free,326.07,2025-07-07
CUST00041,18,Canada,Male,Basic,203.21,2025-05-07
CUST00042,31,Germany,Male,Free,189.49,2025-02-03
CUST00043,34,Germany,Female,Pro,348.3,2025-07-23
CUST00044,60,Germany,Male,Basic,148.35,2024-02-29
CUST00045,55,USA,Female,Free,28.58,2025-08-21
CUST00046,48,USA,Male,Basic,480.39,2024-03-23
CUST00047,29,Canada,Male,Free,201.89,2025-08-06
CUST00048,33,USA,Male,Free,209.61,2025-08-20
CUST00049,54,USA,Female,Pro,102.13,2024-11-17
CUST00050,33,UAE,Male,Enterprise,335.85,2024-11-03
CUST00051,47,UAE,Male,Free,229.14,2025-07-30
CUST00052,24,Canada,Female,Basic,66.23,2024-12-23
CUST00053,22,UK,Female,Pro,78.87,2025-07-10
CUST00054,63,UAE,Female,Free,465.88,2024-04-16
CUST00055,26,UAE,Male,Free,371.21,2024-06-08
CUST00056,35,UAE,Female,Basic,101.8,2025-10-11
CUST00057,34,USA,Female,Enterprise,452.67,2024-02-22
CUST00058,23,Germany,Male,Pro,1.77,2024-05-13
CUST00059,58,UAE,Female,Basic,275.84,2025-03-13
CUST00060,53,Canada,Male,Free,472.53,2025-12-08
CUST00061,27,USA,Female,Free,291.25,2024-05-31
CUST00062,45,UK,Female,Free,182.33,2024-02-10
CUST00063,40,UK,Male,Basic,176.84,2025-07-27
CUST00064,44,USA,Male,Basic,432.3,2024-06-30
CUST00065,44,Canada,Female,Basic,391.19,2025-02-25
CUST00066,69,UK,Male,Pro,393.69,2024-04-20
CUST00067,42,Canada,Male,Enterprise,99.79,2025-04-16
CUST00068,40,UAE,Male,Basic,11.83,2024-07-16
CUST00069,43,UAE,Male,Pro,483.44,2024-10-12
CUST00070,40,USA,Female,Enterprise,469.62,2024-04-28
CUST00071,34,UK,Male,Pro,54.2,2025-03-20
CUST00072,40,UAE,Male,Enterprise,192.6,2025-08-13
CUST00073,30,UAE,Female,Free,0.85,2025-07-05
CUST00074,61,UK,Female,Pro,34.99,2025-11-11
CUST00075,39,USA,Male,Pro,359.88,2024-11-03
CUST00076,50,UAE,Female,Enterprise,201.2,2024-10-29
CUST00077,53,UK,Female,Basic,332.46,2025-01-23
CUST00078,61,UK,Female,Pro,273.97,2024-01-01
CUST00079,37,UAE,Female,Basic,392.88,2025-09-13
CUST00080,59,UAE,Female,Enterprise,221.08,2024-08-06
CUST00081,50,Germany,Male,Basic,141.89,2025-11-10
CUST00082,58,USA,Male,Pro,409.21,2024-08-28
CUST00083,61,UAE,Male,Basic,73.68,2024-02-17
CUST00084,33,Germany,Female,Free,207.22,2025-10-06
CUST00085,54,UK,Female,Enterprise,199.83,2024-05-31
CUST00086,59,Canada,Female,Free,109.42,2025-12-13
CUST00087,51,Germany,Male,Free,458.74,2024-05-04
CUST00088,47,UK,Female,Enterprise,475.02,2025-03-29
CUST00089,57,USA,Female,Enterprise,448.6,2025-05-01
CUST00090,46,UAE,Female,Basic,382.91,2025-06-17
CUST00091,49,UK,Female,Pro,38.74,2024-10-19
CUST00092,33,UAE,Female,Pro,446.51,2024-03-23
CUST00093,26,UK,Female,Basic,346.97,2025-12-24
